time,dhi_pyr,ghi_pyr_1,ghi_pyr_2,air_temperature,relative_humidity,barometric_pressure,precipitation,wind_speed,wind_from_direction,gti_clean,gti_soil,gti_monthly,sensor_cleaning
4/12/2019 0:48,0,0,0,15.62800026,97.97399902,810.7957764,0,1.806999803,255.3781128,0,0,0,0
4/12/2019 0:49,0,0,0,15.64099979,97.97399902,810.7821655,0.200000003,1.673666477,253.1966553,0,0,0,0
4/12/2019 0:50,0,0,0,15.6164999,97.86499786,810.7767334,0,1.76699996,257.7697754,0,0,0,0
4/12/2019 0:51,0,0,0,15.5856657,97.88600159,810.7685547,0,1.553666592,248.7641907,0,0,0,0
4/12/2019 0:52,0,0,0,15.59466648,97.86299896,810.7481689,0,1.806999803,254.549469,0,0,0,0
4/12/2019 0:53,0,0,0,15.59816647,97.91600037,810.7384644,0,1.75366652,255.0765686,0,0,0,0
4/12/2019 0:54,0,0,0,15.59466648,97.91600037,810.7295532,0.200000003,1.726999879,259.7675171,0,0,0,0
4/12/2019 0:55,0,0,0,15.58749962,97.91000366,810.7030029,0,1.660333276,260.4577332,0,0,0,0
4/12/2019 0:56,0,0,0,15.5858326,97.98600006,810.6751709,0,1.660333276,257.1014404,0,0,0,0
4/12/2019 0:57,0,0,0,15.60316658,98.06999969,810.6542358,0,1.673666477,255.7861633,0,0,0,0
4/12/2019 0:58,0,0,0,15.60999966,98.09799957,810.6469116,0,1.940333128,252.6004639,0,0,0,0
4/12/2019 0:59,0,0,0,15.59799862,98.1210022,810.630249,0.200000003,1.953666568,257.385437,0,0,0,0
4/12/2019 1:00,0,0,0,15.60000038,98.1760025,810.6245728,0,1.886999846,252.2740784,0,0,0,0
4/12/2019 1:01,0,0,0,15.5858326,98.10900116,810.6392822,0,2.046999931,256.5120544,0,0,0,0
4/12/2019 1:02,0,0,0,15.55683327,98.10500336,810.6240234,0,1.980333209,252.5347595,0,0,0,0
4/12/2019 1:03,0,0,0,15.54833317,98.13200378,810.6089478,0,1.886999846,256.6947632,0,0,0,0
4/12/2019 1:04,0,0,0,15.55316544,98.16400146,810.6060791,0.200000003,1.900333285,257.3792114,0,0,0,0
4/12/2019 1:05,0,0,0,15.55649948,98.16400146,810.5841675,0,1.633666635,250.120697,0,0,0,0
4/12/2019 1:06,0,0,0,15.56666565,98.16400146,810.6004028,0,1.900333285,247.1954498,0,0,0,0
4/12/2019 1:07,0,0,0,15.56649971,98.21800232,810.5948486,0,1.7403332,249.6108093,0,0,0,0
4/12/2019 1:08,0,0,0,15.57899952,98.24199677,810.59198,0,1.900333166,249.5026703,0,0,0,0
4/12/2019 1:09,0,0,0,15.5858326,98.27300262,810.6137085,0,1.646999836,245.8588562,0,0,0,0
4/12/2019 1:10,0,0,0,15.60666561,98.27500153,810.5878296,0,1.7403332,241.9660034,0,0,0,0
4/12/2019 1:11,0,0,0,15.62316608,98.33599854,810.5769043,0,1.846999884,245.320343,0,0,0,0
4/12/2019 1:12,0,0,0,15.5996666,98.31999969,810.5632935,0.200000003,2.060333252,240.4684448,0,0,0,0
4/12/2019 1:13,0,0,0,15.5858326,98.31999969,810.5577393,0,2.27366662,239.3404846,0,0,0,0
4/12/2019 1:14,0,0,0,15.58766651,98.27300262,810.5482178,0,2.166999817,239.0476532,0,0,0,0
4/12/2019 1:15,0,0,0,15.59816647,98.27500153,810.5386963,0,2.046999931,238.7557068,0,0,0,0
4/12/2019 1:16,0,0,0,15.5909996,98.27300262,810.5386963,0,2.073666573,238.7759705,0,0,0,0
4/12/2019 1:17,0,0,0,15.58066654,98.21800232,810.5359497,0,2.060333252,235.1224976,0,0,0,0
4/12/2019 1:18,0,0,0,15.57166672,98.18800354,810.508728,0.200000003,1.833666563,232.9576721,0,0,0,0
4/12/2019 1:19,0,0,0,15.5943327,98.22200012,810.5195313,0,1.75366652,228.5360565,0,0,0,0
4/12/2019 1:20,0,0,0,15.59283352,98.17199707,810.5059204,0,1.966999888,229.7998047,0,0,0,0
4/12/2019 1:21,0,0,0,15.55833244,98.10700226,810.4923096,0,2.086999893,232.3764191,0,0,0,0
4/12/2019 1:22,0,0,0,15.54833317,98.05000305,810.4814453,0,1.860333204,229.4499359,0,0,0,0
4/12/2019 1:23,0,0,0,15.55333233,98.05599976,810.4760132,0.200000003,1.860333204,230.828186,0,0,0,0
4/12/2019 1:24,0,0,0,15.55666637,98.0039978,810.4801025,0,1.900333285,234.7348022,0,0,0,0
4/12/2019 1:25,0,0,0,15.5548315,98.00800323,810.4841919,0,1.75366652,229.5357056,0,0,0,0
4/12/2019 1:26,0,0,0,15.56666565,97.96399689,810.4787598,0,1.926999927,227.4669952,0,0,0,0
4/12/2019 1:27,0,0,0,15.55999947,97.9260025,810.4569702,0,2.02033329,229.9063416,0,0,0,0
4/12/2019 1:28,0,0,0,15.53899956,97.90000153,810.4624634,0,1.833666563,228.5801239,0,0,0,0
4/12/2019 1:29,0,0,0,15.53100014,97.84799957,810.4651489,0,1.726999879,227.031662,0,0,0,0
4/12/2019 1:30,0,0,0,15.53883266,97.85500336,810.4663696,0,1.873666525,223.6681824,0,0,0,0
4/12/2019 1:31,0,0,0,15.54199886,97.875,810.4570923,0.200000003,1.900333285,218.2784576,0,0,0,0
4/12/2019 1:32,0,0,0,15.53066635,97.83999634,810.4401245,0,2.033666611,214.3962555,0,0,0,0
