year,Bioenergy,Hydro,Other fossil,Other renewables,Solar,Wind
2019,0.13999999999999999,3.19,1.1800000000000002,5.230000000000001,0.11999999999999998,1.5500000000000003
2020,0.10999999999999999,4.25,0.6600000000000001,5.05,0.11999999999999998,1.3399999999999999
2021,0.16999999999999996,3.68,1.0699999999999998,5.029999999999999,0.18,1.9799999999999995
2022,0.21999999999999997,3.0200000000000005,1.37,5.500000000000001,0.37999999999999995,2.15
2023,0.19,2.68,1.1099999999999999,6.02,0.4899999999999999,2.01
2024,0.27,3.6200000000000006,0.85,5.55,0.45999999999999996,1.8099999999999996
